theta_deg,phi_deg,theta_plus_phi,difference
25.25,64.75,90.0,39.5
25.3,64.7,90.0,39.400000000000006
25.35,64.65,90.0,39.300000000000004
25.400000000000002,64.6,90.0,39.19999999999999
25.450000000000003,64.55,90.0,39.099999999999994
25.5,64.5,90.0,39.0
25.55,64.45,90.0,38.900000000000006
25.6,64.4,90.0,38.800000000000004
25.650000000000002,64.35,90.0,38.69999999999999
25.700000000000003,64.3,90.0,38.599999999999994
25.75,64.25,90.0,38.5
25.8,64.2,90.0,38.400000000000006
25.85,64.15,90.0,38.300000000000004
25.900000000000002,64.1,90.0,38.19999999999999
25.950000000000003,64.05,90.0,38.099999999999994
26.0,64.0,90.0,38.0
26.05,63.95,90.0,37.900000000000006
26.1,63.9,90.0,37.8
26.150000000000002,63.849999999999994,90.0,37.69999999999999
26.200000000000003,63.8,90.0,37.599999999999994
26.25,63.75,90.0,37.5
26.3,63.7,90.0,37.400000000000006
26.35,63.65,90.0,37.3
26.400000000000002,63.599999999999994,90.0,37.19999999999999
26.450000000000003,63.55,90.0,37.099999999999994
26.5,63.5,90.0,37.0
26.55,63.45,90.0,36.900000000000006
26.6,63.4,90.0,36.8
26.650000000000002,63.349999999999994,90.0,36.69999999999999
26.700000000000003,63.3,90.0,36.599999999999994
26.75,63.25,90.0,36.5
26.8,63.2,90.0,36.400000000000006
26.85,63.15,90.0,36.3
26.900000000000002,63.099999999999994,90.0,36.19999999999999
26.950000000000003,63.05,90.0,36.099999999999994
27.0,63.0,90.0,36.0
27.05,62.95,90.0,35.900000000000006
27.1,62.9,90.0,35.8
27.150000000000002,62.849999999999994,90.0,35.69999999999999
27.200000000000003,62.8,90.0,35.599999999999994
27.25,62.75,90.0,35.5
27.3,62.7,90.0,35.400000000000006
27.35,62.65,90.0,35.3
27.400000000000002,62.599999999999994,90.0,35.19999999999999
27.450000000000003,62.55,90.0,35.099999999999994
27.5,62.5,90.0,35.0
27.55,62.45,90.0,34.900000000000006
27.6,62.4,90.0,34.8
27.650000000000002,62.349999999999994,90.0,34.69999999999999
27.700000000000003,62.3,90.0,34.599999999999994
27.75,62.25,90.0,34.5
