theta_deg,phi_deg,S_normal,S_tangent,trace_sum,trace_diff
18.6,71.4,0.10173504098790181,0.8982649590120982,1.0,0.7965299180241965
18.65,71.35,0.10226325957255211,0.8977367404274479,1.0,0.7954734808548958
18.700000000000003,71.3,0.10279268973229101,0.897207310267709,1.0,0.7944146205354179
18.75,71.25,0.10332332985438246,0.8966766701456175,0.9999999999999999,0.793353340291235
18.8,71.2,0.10385517832240466,0.8961448216775953,1.0,0.7922896433551907
18.85,71.15,0.104388233516255,0.8956117664837451,1.0,0.79122353296749
18.9,71.1,0.10492249381215486,0.8950775061878451,1.0,0.7901550123756902
18.950000000000003,71.05,0.10545795758265472,0.8945420424173453,1.0,0.7890840848346905
19.0,71.0,0.10599462319663906,0.8940053768033609,1.0,0.7880107536067218
19.05,70.95,0.10653248901933135,0.8934675109806687,1.0,0.7869350219613374
19.1,70.9,0.10707155341229904,0.892928446587701,1.0,0.785856893175402
19.15,70.85,0.10761181473345857,0.8923881852665414,1.0,0.7847763705330828
19.200000000000003,70.8,0.10815327133708012,0.8918467286629198,0.9999999999999999,0.7836934573258397
19.25,70.75,0.10869592157379306,0.8913040784262068,0.9999999999999999,0.7826081568524138
19.3,70.7,0.10923976379059064,0.8907602362094094,1.0,0.7815204724188187
19.35,70.65,0.10978479633083511,0.890215203669165,1.0,0.7804304073383298
19.4,70.6,0.11033101753426296,0.889668982465737,1.0,0.779337964931474
19.450000000000003,70.55,0.11087842573698954,0.8891215742630104,1.0,0.7782431485260208
19.5,70.5,0.11142701927151455,0.8885729807284855,1.0,0.7771459614569709
19.55,70.45,0.11197679646672698,0.888023203533273,1.0,0.776046407066546
19.6,70.4,0.11252775564791016,0.8874722443520898,1.0,0.7749444887041796
19.65,70.35,0.1130798951367469,0.8869201048632531,1.0,0.7738402097265062
19.700000000000003,70.3,0.11363321325132451,0.8863667867486755,1.0,0.7727335734973511
19.75,70.25,0.11418770830613997,0.88581229169386,1.0,0.77162458338772
19.8,70.2,0.11474337861210536,0.8852566213878947,1.0,0.7705132427757894
19.85,70.15,0.11530022247655244,0.8846997775234476,1.0,0.7693995550468952
19.9,70.1,0.11585823820323837,0.8841417617967617,1.0,0.7682835235935234
19.950000000000003,70.05,0.11641742409235026,0.8835825759076498,1.0,0.7671651518152995
20.0,70.0,0.11697777844051101,0.883022221559489,1.0,0.7660444431189779
20.05,69.95,0.1175392995407841,0.8824607004592159,1.0,0.7649214009184317
20.1,69.9,0.11810198568267892,0.8818980143173211,1.0,0.7637960286346421
20.15,69.85,0.1186658351521559,0.8813341648478441,1.0,0.7626683296956882
20.200000000000003,69.8,0.11923084623163169,0.8807691537683684,1.0,0.7615383075367367
20.25,69.75,0.11979701719998453,0.8802029828000155,1.0,0.760405965600031
20.3,69.7,0.12036434633255957,0.8796356536674403,0.9999999999999999,0.7592713073348808
20.35,69.65,0.12093283190117386,0.8790671680988261,1.0,0.7581343361976522
20.4,69.6,0.1215024721741218,0.8784975278258781,0.9999999999999999,0.7569950556517563
20.450000000000003,69.55,0.12207326541618027,0.8779267345838196,0.9999999999999999,0.7558534691676394
20.5,69.5,0.12264520988861398,0.877354790111386,0.9999999999999999,0.754709580222772
20.55,69.45,0.12321830384918105,0.876781696150819,1.0,0.7535633923016379
20.6,69.4,0.12379254555213778,0.8762074544478622,1.0,0.7524149088957244
20.65,69.35,0.12436793324824447,0.8756320667517555,1.0,0.7512641335035111
20.700000000000003,69.3,0.12494446518477026,0.8750555348152298,1.0,0.7501110696304596
20.75,69.25,0.1255221396054989,0.8744778603945011,1.0,0.7489557207890023
20.8,69.2,0.12610095475073402,0.873899045249266,1.0,0.747798090498532
20.85,69.15,0.12668090885730426,0.8733190911426958,1.0,0.7466381822853916
20.9,69.1,0.12726200015856895,0.872737999841431,0.9999999999999999,0.745475999682862
20.950000000000003,69.05,0.12784422688442304,0.8721557731155769,1.0,0.7443115462311538
21.0,69.0,0.1284275872613029,0.8715724127386971,1.0,0.7431448254773942
21.05,68.95,0.12901207951219182,0.8709879204878082,1.0,0.7419758409756163
21.1,68.9,0.12959770185662497,0.870402298143375,1.0,0.74080459628675
21.15,68.85,0.1301844525106952,0.8698155474893048,1.0,0.7396310949786096
21.200000000000003,68.8,0.13077232968705815,0.8692276703129419,1.0,0.7384553406258838
21.25,68.75,0.13136133159493799,0.868638668405062,1.0,0.737277336810124
21.3,68.7,0.13195145644013284,0.868048543559867,0.9999999999999999,0.7360970871197342
21.35,68.65,0.13254270242502006,0.86745729757498,1.0,0.7349145951499599
21.4,68.6,0.13313506774856182,0.8668649322514381,1.0,0.7337298645028763
21.450000000000003,68.55,0.13372855060631067,0.8662714493936893,1.0,0.7325428987873785
21.5,68.5,0.13432314919041477,0.8656768508095853,1.0,0.7313537016191706
21.55,68.45,0.13491886168962383,0.8650811383103763,1.0,0.7301622766207524
21.6,68.4,0.1355156862892942,0.8644843137107058,1.0,0.7289686274214116
21.65,68.35,0.13611362117139478,0.8638863788286052,1.0,0.7277727576572104
21.700000000000003,68.3,0.13671266451451206,0.863287335485488,1.0,0.7265746709709759
21.75,68.25,0.13731281449385618,0.8626871855061439,1.0,0.7253743710122877
21.8,68.2,0.13791406928126623,0.8620859307187337,1.0,0.7241718614374675
21.85,68.15,0.13851642704521586,0.8614835729547842,1.0,0.7229671459095683
21.9,68.1,0.1391198859508189,0.8608801140491811,1.0,0.7217602280983622
21.950000000000003,68.05,0.1397244441598348,0.8602755558401651,0.9999999999999999,0.7205511116803304
22.0,68.0,0.1403300998306744,0.8596699001693257,1.0,0.7193398003386513
22.05,67.95,0.14093685111840554,0.8590631488815945,1.0,0.718126297763189
22.1,67.9,0.14154469617475854,0.8584553038252414,0.9999999999999999,0.7169106076504829
22.15,67.85,0.14215363314813212,0.8578463668518679,1.0,0.7156927337037358
22.200000000000003,67.8,0.1427636601835984,0.8572363398164017,1.0,0.7144726796328033
22.25,67.75,0.14337477542290922,0.8566252245770908,1.0,0.7132504491541816
22.3,67.7,0.14398697700450178,0.8560130229954983,1.0,0.7120260459909965
22.35,67.65,0.14460026306350376,0.8553997369364963,1.0,0.7107994738729926
22.4,67.6,0.1452146317317396,0.8547853682682605,1.0,0.7095707365365209
22.450000000000003,67.55,0.14583008113773563,0.8541699188622643,1.0,0.7083398377245287
22.5,67.5,0.14644660940672627,0.8535533905932737,1.0,0.7071067811865475
22.55,67.45,0.1470642146606595,0.8529357853393406,1.0,0.7058715706786811
22.6,67.4,0.14768289501820264,0.8523171049817974,1.0,0.7046342099635947
22.65,67.35,0.1483026485947481,0.8516973514052519,1.0,0.7033947028105039
22.700000000000003,67.3,0.14892347350241883,0.8510765264975813,1.0,0.7021530529951624
22.75,67.25,0.14954536785007455,0.8504546321499254,1.0,0.7009092642998509
22.8,67.2,0.15016832974331729,0.8498316702566827,1.0,0.6996633405133654
22.85,67.15,0.15079235728449703,0.849207642715503,1.0,0.698415285431006
22.9,67.1,0.15141744857271772,0.8485825514272822,1.0,0.6971651028545645
22.950000000000003,67.05,0.15204360170384285,0.8479563982961571,1.0,0.6959127965923142
23.0,67.0,0.15267081477050135,0.8473291852294987,1.0,0.6946583704589974
23.05,66.95,0.15329908586209348,0.8467009141379065,1.0,0.693401828275813
23.1,66.9,0.15392841306479654,0.8460715869352035,1.0,0.6921431738704069
23.15,66.85,0.15455879446157086,0.845441205538429,0.9999999999999999,0.6908824110768582
23.200000000000003,66.8,0.15519022813216518,0.8448097718678348,1.0,0.6896195437356696
23.25,66.75,0.15582271215312304,0.844177287846877,1.0,0.6883545756937539
23.3,66.7,0.15645624459778854,0.8435437554022115,1.0,0.687087510804423
23.35,66.65,0.1570908235363119,0.8429091764636882,1.0000000000000002,0.6858183529273764
23.4,66.6,0.15772644703565572,0.8422735529643443,1.0,0.6845471059286885
23.450000000000003,66.55,0.1583631131596005,0.8416368868403995,1.0,0.683273773680799
23.5,66.5,0.15900081996875076,0.8409991800312493,1.0,0.6819983600624986
23.55,66.45,0.1596395655205411,0.840360434479459,1.0,0.6807208689589179
23.6,66.4,0.16027934786924172,0.8397206521307583,1.0,0.6794413042615166
23.65,66.35,0.1609201650659647,0.8390798349340353,1.0,0.6781596698680705
23.700000000000003,66.3,0.16156201515866966,0.8384379848413303,0.9999999999999999,0.6768759696826606
23.75,66.25,0.16220489619216988,0.8377951038078301,1.0,0.6755902076156601
23.8,66.2,0.1628488062081383,0.8371511937918618,1.0,0.6743023875837235
23.85,66.15,0.16349374324511332,0.8365062567548868,1.0,0.6730125135097734
23.9,66.1,0.16413970533850492,0.8358602946614951,1.0,0.6717205893229903
23.950000000000003,66.05,0.16478669052060044,0.8352133094793995,1.0,0.6704266189587991
24.0,66.0,0.16543469682057088,0.834565303179429,0.9999999999999999,0.6691306063588581
24.05,65.95,0.16608372226447665,0.8339162777355233,1.0,0.6678325554710467
24.1,65.9,0.1667337648752737,0.8332662351247263,1.0,0.6665324702494526
24.15,65.85,0.1673848226728196,0.8326151773271804,1.0,0.6652303546543608
24.200000000000003,65.8,0.16803689367387922,0.8319631063261208,1.0,0.6639262126522416
24.25,65.75,0.16868997589213122,0.8313100241078687,0.9999999999999999,0.6626200482157375
24.3,65.7,0.16934406733817403,0.830655932661826,1.0,0.661311865323652
24.35,65.65,0.16999916601953158,0.8300008339804684,1.0,0.6600016679609368
24.4,65.6,0.17065526994065983,0.8293447300593402,1.0,0.6586894601186803
24.450000000000003,65.55,0.1713123771029522,0.8286876228970478,1.0,0.6573752457940956
24.5,65.5,0.1719704855047464,0.8280295144952536,1.0,0.6560590289905073
24.55,65.45,0.17262959314133014,0.8273704068586699,1.0,0.6547408137173398
24.6,65.4,0.17328969800494728,0.8267103019950527,1.0,0.6534206039901054
24.65,65.35,0.17395079808480396,0.826049201915196,1.0,0.6520984038303921
24.700000000000003,65.3,0.17461289136707459,0.8253871086329254,1.0,0.6507742172658508
24.75,65.25,0.1752759758349082,0.8247240241650917,0.9999999999999999,0.6494480483301835
24.8,65.2,0.17594004946843456,0.8240599505315654,1.0,0.6481199010631309
24.85,65.15,0.1766051102447702,0.8233948897552298,1.0,0.6467897795104596
24.9,65.1,0.17727115613802477,0.8227288438619752,1.0,0.6454576877239504
24.950000000000003,65.05,0.17793818511930679,0.8220618148806932,1.0,0.6441236297613864
25.0,65.0,0.17860619515673035,0.8213938048432696,1.0,0.6427876096865393
25.05,64.95,0.17927518421542102,0.820724815784579,1.0,0.641449631569158
25.1,64.9,0.17994515025752222,0.8200548497424778,1.0,0.6401096994849556
25.15,64.85,0.18061609124220118,0.8193839087577988,1.0,0.6387678175155975
25.200000000000003,64.8,0.18128800512565518,0.8187119948743449,1.0,0.6374239897486897
25.25,64.75,0.181960889861118,0.818039110138882,1.0,0.636078220277764
25.3,64.7,0.18263474339886615,0.8173652566011338,1.0,0.6347305132022676
25.35,64.65,0.18330956368622486,0.8166904363137751,1.0,0.6333808726275503
25.4,64.6,0.18398534866757463,0.8160146513324253,1.0,0.6320293026648507
25.450000000000003,64.55,0.18466209628435698,0.815337903715643,1.0,0.6306758074312859
25.5,64.5,0.1853398044750813,0.8146601955249186,1.0,0.6293203910498373
25.55,64.45,0.18601847117533107,0.8139815288246689,1.0,0.6279630576493378
25.6,64.4,0.18669809431776976,0.8133019056822303,1.0,0.6266038113644605
25.65,64.35,0.18737867183214746,0.8126213281678525,1.0,0.625242656335705
25.700000000000003,64.3,0.18806020164530698,0.811939798354693,1.0,0.623879596709386
25.75,64.25,0.18874268168119024,0.8112573183188098,1.0,0.6225146366376195
25.8,64.2,0.18942610986084482,0.8105738901391552,1.0,0.6211477802783103
25.85,64.15,0.19011048410242992,0.8098895158975701,1.0,0.6197790317951402
25.9,64.1,0.19079580232122295,0.809204197678777,1.0,0.6184083953575541
25.950000000000003,64.05,0.19148206242962573,0.8085179375703742,0.9999999999999999,0.6170358751407484
26.0,64.0,0.19216926233717088,0.8078307376628292,1.0,0.6156614753256583
26.05,63.95,0.1928573999505284,0.8071426000494717,1.0,0.6142852000989433
26.1,63.9,0.19354647317351178,0.8064535268264882,1.0,0.6129070536529764
26.150000000000002,63.849999999999994,0.19423647990708448,0.8057635200929155,1.0,0.611527040185831
26.2,63.8,0.1949274180493662,0.8050725819506338,1.0,0.6101451639012676
26.25,63.75,0.19561928549563967,0.8043807145043603,1.0,0.6087614290087207
26.3,63.7,0.19631208013835663,0.8036879198616435,1.0,0.6073758397232868
26.35,63.65,0.19700579986714453,0.8029942001328555,1.0,0.605988400265711
26.400000000000002,63.599999999999994,0.19770044256881258,0.8022995574311875,1.0,0.6045991148623749
26.45,63.55,0.19839600612735875,0.8016039938726413,1.0,0.6032079877452825
26.5,63.5,0.1990924884239758,0.8009075115760242,1.0,0.6018150231520485
26.55,63.45,0.19978988733705794,0.8002101126629421,1.0,0.6004202253258841
26.6,63.4,0.2004882007422071,0.7995117992577928,0.9999999999999999,0.5990235985155857
26.650000000000002,63.349999999999994,0.20118742651223953,0.7988125734877605,1.0,0.5976251469755209
26.7,63.3,0.20188756251719214,0.7981124374828079,1.0,0.5962248749656158
26.75,63.25,0.20258860662432937,0.7974113933756706,1.0,0.5948227867513411
26.8,63.2,0.2032905566981493,0.7967094433018507,1.0,0.5934188866037013
26.85,63.15,0.20399341060039025,0.7960065893996098,1.0,0.5920131787992196
26.900000000000002,63.099999999999994,0.20469716619003742,0.7953028338099626,1.0,0.5906056676199252
26.95,63.05,0.20540182132332901,0.7945981786766709,1.0,0.5891963573533419
27.0,63.0,0.20610737385376343,0.7938926261462366,1.0,0.5877852522924731
27.05,62.95,0.20681382163210532,0.7931861783678946,1.0,0.5863723567357892
27.1,62.9,0.20752116250639227,0.7924788374936077,1.0,0.5849576749872154
27.150000000000002,62.849999999999994,0.2082293943219413,0.7917706056780588,1.0,0.5835412113561175
27.2,62.8,0.20893851492135532,0.7910614850786447,1.0,0.5821229701572894
27.25,62.75,0.20964852214453011,0.7903514778554699,1.0,0.5807029557109398
27.3,62.7,0.21035941382866055,0.7896405861713395,1.0,0.579281172342679
