theta_rad,theta_deg,A_observable,B_complement,A_plus_B,G_gap
0.19792033717615698,11.34,0.9613363699350574,0.03866363006494259,1.0,0.03716875377514386
0.19870573533955443,11.385000000000002,0.9610329639494076,0.03896703605059238,1.0,0.037448606152024215
0.19949113350295186,11.43,0.9607284204107491,0.03927157958925077,0.9999999999999999,0.03772932262581591
0.20027653166634932,11.475,0.9604227400705131,0.03957725992948687,1.0,0.038010900425960704
0.20106192982974677,11.520000000000001,0.9601159236829352,0.03988407631706484,1.0,0.03829333677339938
0.20184732799314423,11.565000000000001,0.9598079720050543,0.04019202799494571,1.0,0.038576628880599206
0.20263272615654168,11.610000000000001,0.9594988857967107,0.04050111420328933,1.0,0.03886077395158145
0.2034181243199391,11.655,0.9591886658205437,0.040811334179456225,1.0,0.039145769181948974
0.20420352248333656,11.700000000000001,0.9588773128419905,0.04112268715800943,1.0,0.039431611758913916
0.20498892064673402,11.745000000000001,0.9585648276292834,0.041435172370716436,0.9999999999999999,0.03971829886132545
0.20577431881013147,11.790000000000001,0.958251210953449,0.04174878904655102,1.0,0.0400058276596976
0.2065597169735289,11.835,0.9579364635883046,0.04206353641169522,0.9999999999999999,0.0402941953162372
0.20734511513692636,11.88,0.9576205863104588,0.04237941368954122,1.0,0.04058339898487195
0.2081305133003238,11.925,0.9573035798993069,0.042696420100693216,1.0000000000000002,0.04087343581127834
0.20891591146372127,11.97,0.9569854451370307,0.04301455486296941,1.0,0.041164302932910006
0.2097013096271187,12.015,0.9566661828085962,0.043333817191403876,1.0,0.04145599747902587
0.21048670779051615,12.06,0.9563457937017514,0.04365420629824859,1.0,0.04174851657071855
0.2112721059539136,12.105,0.9560242786070247,0.04397572139297528,0.9999999999999999,0.04204185732094269
0.21205750411731106,12.15,0.9557016383177227,0.04429836168227738,1.0,0.04233601683454352
0.21284290228070848,12.195,0.9553778736299279,0.04462212637007207,1.0,0.04263099220828538
0.21362830044410594,12.24,0.9550529853424978,0.04494701465750215,1.0,0.042926780530880435
0.2144136986075034,12.285,0.954726974257062,0.0452730257429381,1.0,0.04322337888301737
0.21519909677090085,12.330000000000002,0.9543998411780201,0.04560015882197996,1.0,0.043520784337390164
0.21598449493429828,12.375,0.9540715869125406,0.04592841308745935,0.9999999999999999,0.043818993958727036
0.21676989309769573,12.42,0.9537422122705584,0.04625778772944153,1.0,0.04411800480381946
0.2175552912610932,12.465,0.9534117180647727,0.04658828193522731,1.0,0.04441781392155108
0.21834068942449064,12.510000000000002,0.953080105110645,0.046919894889355086,1.0,0.04471841835292696
0.2191260875878881,12.555000000000001,0.9527473742263971,0.047252625773602855,1.0,0.045019815131102696
0.21991148575128552,12.6,0.9524135262330098,0.04758647376699023,1.0,0.04532200128141378
0.22069688391468298,12.645000000000001,0.9520785619542196,0.0479214380457805,1.0,0.04562497382140493
0.22148228207808043,12.690000000000001,0.9517424822165175,0.04825751778348258,1.0,0.04592872976085944
0.2222676802414779,12.735000000000001,0.9514052878491468,0.04859471215085315,1.0,0.046233266101828874
0.22305307840487532,12.78,0.9510669796841014,0.04893302031589858,1.0,0.046538579838662435
0.22383847656827277,12.825000000000001,0.9507275585561229,0.04927244144387716,1.0,0.04684466795803686
0.22462387473167023,12.870000000000001,0.950387025302699,0.04961297469730097,1.0,0.04715152743898594
0.22540927289506768,12.915000000000001,0.950045380764062,0.04995461923593806,1.0,0.047459155252930506
0.2261946710584651,12.96,0.9497026257831854,0.050297374216814475,0.9999999999999999,0.047767548363708195
